id,text,hour,dayofweek,authorMeta.id,authorMeta.verified,authorMeta.following,authorMeta.fans,authorMeta.heart,authorMeta.video,authorMeta.digg,musicMeta.musicId,musicMeta.musicOriginal,musicMeta.duration,videoMeta.duration,diggCount,shareCount,playCount,commentCount,numHashtags,popular,fyp,foryou,foryoupage,viral,fypシ,funny,xyzbca,comedy,duet,tiktok,fy,parati
6.92E+18,147,15,0,7707971,1,16,2500000,49600000,231,289,6.92E+18,1,43,43,541300,1829,4100000,2312,11,1,1,1,0,0,0,0,0,1,0,0,0,0
6.95E+18,16,18,3,6.75E+18,1,581,60700000,1300000000,260,7199,6.94E+18,1,8,8,557200,1782,2500000,13800,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6.93E+18,25,0,5,6.60E+18,0,1645,4100000,47300000,390,5847,6.93E+18,1,13,13,222500,29800,3000000,3846,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6.95E+18,92,2,1,6.91E+18,0,17,74500,1300000,3,54,6.60E+18,0,14,15,165300,15100,1200000,4472,5,1,0,0,0,0,0,0,0,0,0,0,0,0
6.92E+18,41,7,0,6.78E+18,1,940,18400000,213800000,305,12200,6.92E+18,1,42,11,1800000,9230,15100000,10600,1,1,0,0,0,0,0,0,0,0,1,0,0,0
6.94E+18,26,3,0,6.69E+18,1,688,17400000,389200000,1973,16900,6.94E+18,1,38,39,2200000,9888,13200000,8439,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6.92E+18,33,20,2,6.75E+18,1,581,60700000,1300000000,260,7199,6.91E+18,1,17,15,7500000,25100,47700000,60200,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6.95E+18,74,19,0,6.80E+18,1,32,13000000,403900000,308,3955,6.55E+18,1,15,11,219400,178,1600000,1153,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6.94E+18,0,19,2,6.92E+18,0,115,1095,12300,11,448,6.93E+18,1,11,11,12000,37,78600,1115,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.94E+18,32,19,6,6.91E+18,0,63,1400000,33400000,194,1735,6.94E+18,1,9,9,234200,30700,3800000,9223,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6.94E+18,82,22,0,6.82E+18,0,768,154300,3100000,182,7392,6.81E+18,0,60,28,1100000,5700,6900000,17500,6,1,1,0,0,0,0,0,0,0,0,0,0,0
6.95E+18,65,18,2,6.82E+18,1,4,7000000,107200000,178,98,6.72E+18,0,30,12,916800,224800,9800000,23300,5,1,0,0,0,0,0,0,0,1,0,0,0,0
6.94E+18,38,22,0,6.55E+18,1,90,20200000,507300000,840,4570,6.94E+18,1,11,11,142600,282,1600000,654,2,1,0,0,0,0,0,0,0,0,0,0,0,0
6.94E+18,118,15,5,6.81E+18,0,181,1600000,36800000,421,20300,6.94E+18,1,11,11,3400000,18300,22400000,35800,2,1,1,0,0,0,0,0,0,0,0,0,0,0
6.95E+18,142,0,1,6.75E+18,0,61,2900000,97400000,790,3200,6.95E+18,1,53,53,258000,11500,1600000,7612,14,1,1,0,1,0,0,0,0,1,0,0,1,0
6.95E+18,35,2,1,6.77E+18,1,846,11300000,340400000,374,19300,6.86E+18,1,28,25,579200,1567,3500000,11300,1,1,0,0,0,0,0,0,0,0,1,0,0,0
6.94E+18,78,18,3,6.75E+18,1,1,35400000,196600000,41,8,6.93E+18,1,14,25,11900000,215200,50600000,119200,2,1,0,0,0,0,0,0,0,0,0,0,0,0
6.95E+18,70,18,1,1.25E+17,1,273,2200000,46400000,549,63200,6.95E+18,1,40,40,743900,54400,4000000,7979,2,1,0,0,0,0,0,0,0,0,0,0,0,0
6.95E+18,24,17,3,1.91E+17,1,313,10600000,278300000,1052,180,6.95E+18,1,54,55,168000,417,1300000,656,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6.94E+18,1,13,2,6.74E+18,0,320,1800000,41700000,634,5441,6.84E+18,0,60,15,188000,40000,3600000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6.93E+18,86,19,2,6.77E+18,1,21,489300,6200000,309,241,6.60E+18,1,14,24,685900,2925,8900000,3098,3,1,0,0,0,0,0,0,0,0,0,0,0,0
6.94E+18,112,21,5,6.91E+18,0,17,74500,1300000,3,54,6.93E+18,1,41,30,1100000,27200,6200000,11300,5,1,0,0,0,0,0,0,0,0,0,0,0,0
6.94E+18,55,11,0,6.72E+18,1,570,27500000,520100000,786,16700,6.94E+18,1,13,13,2500000,2436,37900000,6668,5,1,1,0,1,0,0,0,0,0,0,0,0,0
6.95E+18,73,18,2,6.70E+18,0,93,5500000,396800000,532,5925,6.95E+18,1,20,20,935400,18700,5500000,7071,7,1,1,1,1,1,1,0,1,0,0,0,0,0
6.94E+18,20,16,4,2568711,0,86,1300000,31200000,673,3908,6.93E+18,1,14,14,429100,31600,4500000,10000,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6.94E+18,27,1,1,6.66E+18,1,213,14500000,904000000,2939,1206,6.94E+18,1,40,13,632300,6615,3400000,4611,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6.94E+18,42,20,3,6.79E+18,0,334,55300,2600000,96,25600,6.71E+18,0,60,11,2000000,3258,13100000,4537,1,1,1,0,0,0,0,0,0,0,0,0,0,0
6.94E+18,67,15,1,6.65E+18,1,115,13200000,794400000,3299,445,6.84E+18,1,52,18,1200000,71900,6700000,10800,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6.92E+18,128,1,0,6.79E+18,0,95,4400000,37100000,483,141,6.92E+18,1,32,32,3000000,395300,31400000,16900,11,1,0,0,0,0,0,1,0,1,0,0,0,0
6.94E+18,79,23,6,6.79E+18,1,194,6200000,76100000,299,1207,6.94E+18,1,22,22,3100000,2728,38300000,2540,2,1,0,0,0,0,0,0,0,0,0,0,0,0
6.94E+18,36,19,5,6.84E+18,0,82,4354,469300,13,3170,6.94E+18,1,9,10,467100,52600,4000000,4246,2,1,1,0,0,0,0,0,0,0,0,0,0,0
6.94E+18,57,13,5,6.74E+18,0,424,148800,2800000,100,2551,6.94E+18,1,59,59,1400000,86700,5700000,14600,6,1,1,0,0,0,0,0,0,0,0,0,0,0
6.94E+18,150,3,5,6.85E+18,0,158,656200,6500000,106,584,6.94E+18,1,52,52,4300000,19200,25200000,33500,8,1,1,1,1,1,0,0,0,0,0,0,1,0
6.94E+18,71,16,2,6.79E+18,1,170,7800000,100600000,54,11700,6.93E+18,1,31,51,600000,4572,5200000,3188,3,1,1,0,0,0,0,0,0,0,0,0,0,0
6.94E+18,54,11,4,6.72E+18,1,570,27500000,520100000,786,16700,6.94E+18,1,19,19,1700000,1342,27800000,2396,5,1,1,0,1,0,0,0,0,0,0,0,0,0
6.93E+18,0,17,2,6.67E+18,1,2613,23400000,1100000000,8275,8629,6.93E+18,1,11,12,883100,4493,6200000,11400,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6.94E+18,63,14,6,6.78E+18,0,95,491300,5100000,169,344,6.89E+18,1,28,29,1400000,154500,7400000,15100,3,1,1,1,0,0,0,0,0,0,0,0,0,0
6.94E+18,91,18,2,6.55E+18,0,1225,818000,13300000,91,2212,6.59E+18,0,166,14,417900,1971,8400000,3612,2,1,0,0,0,0,0,0,0,0,0,0,0,0
6.94E+18,90,15,4,6.70E+18,0,56,792700,13900000,60,410,2.46E+17,0,30,11,510700,41500,3500000,1972,5,1,1,1,1,0,0,0,0,0,0,0,0,0
6.92E+18,13,19,4,6.75E+18,1,581,60700000,1300000000,260,7199,6.75E+18,0,30,15,1400000,9299,16400000,66700,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6.94E+18,128,14,4,6.78E+18,0,110,651000,9000000,137,781,6.94E+18,1,33,33,1400000,10700,14000000,76300,8,1,1,0,0,0,0,0,0,0,0,0,0,0
6.94E+18,104,16,5,2.81E+17,1,2156,5300000,183500000,914,8757,6.94E+18,1,16,16,1300000,14100,9400000,5427,7,1,0,1,1,0,0,1,0,0,0,0,0,0
6.94E+18,94,1,5,6.72E+18,0,438,8800000,202800000,636,1740,6.94E+18,1,43,43,1600000,21400,12400000,10300,3,1,0,0,0,0,0,0,0,0,0,0,0,0
6.94E+18,146,1,4,6.83E+18,0,0,146800,2100000,519,19200,6.70E+18,0,60,59,656900,1781,3500000,2077,14,1,1,1,1,0,1,0,0,0,0,0,1,0
6.94E+18,138,18,2,6.73E+18,1,328,7600000,77700000,413,2479,6.93E+18,1,19,17,3200000,106500,54600000,10600,5,1,0,0,0,0,0,0,0,0,1,0,0,0
6.95E+18,105,19,1,6.83E+18,0,12,82300,997600,70,713,6.94E+18,0,60,20,50500,112,626200,517,5,1,1,1,0,0,0,0,0,0,0,0,0,0
6.94E+18,35,22,3,6.66E+18,0,315,14800000,164300000,510,1511,6.65E+18,0,34,18,377200,21900,2300000,5513,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6.94E+18,49,22,3,5.97E+16,0,51,2300000,68900000,618,2487,6.94E+18,1,32,32,3300000,4178,28800000,5191,1,1,0,0,0,0,0,0,0,0,0,0,0,0
